site_name,vacancy_name,vacancy_link,vacancy_city,employer,employer_hh_link,min_salary,max_salary
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38195794?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Ригла,https://hh.ru/employer/45333,,
HeadHunter (hh.ru),Юрисконсульт по авторским и смежным правам,https://hh.ru/vacancy/38983821?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Gazgolder,https://hh.ru/employer/4875428,,
HeadHunter (hh.ru),Помощник юриста,https://hh.ru/vacancy/39009020?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Компромисс-Групп,https://hh.ru/employer/4855310,50000.0,70000.0
HeadHunter (hh.ru),Юрист-консультант,https://hh.ru/vacancy/38990350?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО АЛЬТАИР ЛЕКС,https://hh.ru/employer/4846381,100000.0,
HeadHunter (hh.ru),Юрист,https://hh.ru/vacancy/39041816?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ChronoPay,https://hh.ru/employer/1936,70000.0,120000.0
HeadHunter (hh.ru),Ведущий юрист,https://hh.ru/vacancy/37797866?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,АО Модный Континент,https://hh.ru/employer/3696,,70000.0
HeadHunter (hh.ru),Юрист,https://hh.ru/vacancy/38505376?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Юридическое бюро Правовой cтандарт,https://hh.ru/employer/4598742,100000.0,160000.0
HeadHunter (hh.ru),Юрист,https://hh.ru/vacancy/38951516?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Российская Кредитная Компания,https://hh.ru/employer/1042304,60000.0,150000.0
HeadHunter (hh.ru),Юрист первичного приема / Юрист-консультант,https://hh.ru/vacancy/38980730?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Крюкова и Партнеры,https://hh.ru/employer/4598228,80000.0,200000.0
HeadHunter (hh.ru),Юрист-международник,https://hh.ru/vacancy/38657915?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Проспектаси,https://hh.ru/employer/4528046,60000.0,60000.0
HeadHunter (hh.ru),Юрист первичного приема,https://hh.ru/vacancy/38934030?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Правовые Решения,https://hh.ru/employer/4336383,150000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38540973?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,"ПАО Абрау-Дюрсо, Русский Винный Дом",https://hh.ru/employer/718392,100000.0,130000.0
HeadHunter (hh.ru),Юрист/Юрисконсульт,https://hh.ru/vacancy/38754953?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Инноватор Косметикс,https://hh.ru/employer/2347336,80000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38733715?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Национальный Центр развития государственно-частного партнерства,https://hh.ru/employer/1435901,138000.0,138000.0
